condid,state,site_baseage,siteclass,site_species,forest_type,siteindex_orig,stand_age,BA,QMD,TPA,total_cubic_net,total_cubic_gross,sawlog_cubic_net,sawlog_cubic_gross,boardfoot_net,boardfoot_gross
171244255020004,Washington,100,5,202,201,93,55,126.4,7.795275591,59.11,807.4,807.4,282.22,282.22,1586.61,1586.61
171244084020004,Washington,100,4,202,201,123,94,286.86,5.271653543,293.08,6834.92,7862.23,6040.76,6659.66,38061.83,42268.7
171244227020004,Washington,100,5,202,201,92,110,101.92,4.059055118,175.52,2520.03,2642.92,1967.28,2007.93,12271.37,12472.99
171244140020004,Washington,100,3,202,201,130,95,209.87,4.88976378,249.13,4997.88,5067.5,4532.73,4581.3,27569.82,27840.88
171244249020004,Washington,100,4,202,201,117,105,152.96,5.712598425,133.17,1346.58,1796.83,1218.57,1453.36,7071,8410.2
171244142020004,Washington,100,3,202,201,131,93,119.17,6.763779528,74.01,3654.75,3915.9,2710.87,2967.63,16644.83,18209.1
212810856020004,Washington,100,5,202,201,84,120,368.42,5.539370079,341,13833.71,14922.46,12321.25,13325.61,78554.93,85024
212810801020004,Washington,100,3,202,201,138,110,147.7,6.437007874,101.23,5516.37,5597.37,5278.28,5356.6,34418.85,34925.12
212810886020004,Washington,100,3,202,201,132,120,191.69,6.87007874,115.29,8173.01,8588.56,7561.37,7561.37,49697.15,49697.15
171244213020004,Washington,100,4,202,201,106,40,200.9,5.44488189,192.57,5623.1,5858.69,5153.7,5360.54,29622.52,30825.85
171244281020004,Washington,100,3,202,201,137,62,153.27,4.492125984,215.62,3916.83,4136.08,3146.56,3363.22,18746.02,20036.82
171244164020004,Washington,100,4,202,201,118,128,22.69,7.165354331,12.56,440.81,440.81,432.56,432.56,2766.93,2766.93
171244196020004,Washington,100,3,202,201,126,64,123.37,4.125984252,205.61,3314.75,3564.01,2489.25,2512.06,14137.88,14285.04
171244154020004,Washington,100,4,202,201,99,99,121.05,5.507874016,113.32,3201.72,3206.44,3002.84,3007.29,17558.13,17580.66
171244280020004,Washington,100,4,202,201,121,110,118.51,5.602362205,107.3,3736.12,4073.21,3483.69,3769.04,21705.96,23498.76
171244297020004,Washington,100,3,202,201,129,36,91.84,3.933070866,168.5,1480.02,1480.02,996.49,996.49,5117.36,5117.36
171244043020004,Washington,100,3,202,201,133,38,75.62,3.633858268,162.48,1201.13,1201.13,833.7,833.7,4057.25,4057.25
171244068020004,Washington,100,5,202,201,94,137,90.86,4.484251969,128.37,5592.41,5601.71,1788.02,1788.02,11104.5,11104.5
212810788020004,Washington,100,4,202,201,110,25,209.4,3.070866142,630.31,2962.43,2962.43,1073.22,1073.22,5521.92,5521.92
212810893020004,Washington,100,4,202,201,121,45,281.38,4.913385827,330.99,11509.29,14401.01,9056.74,9056.74,55624.38,55624.38
171244162020004,Washington,100,3,202,201,136,65,279.35,6.862204724,168.5,13005.67,13162.59,12109.54,12109.54,79897.8,79897.8
171244305020004,Washington,100,4,202,201,114,175,192.59,6.933070866,113.81,471.75,471.75,456.08,456.08,2898.43,2898.43
171244207020004,Washington,100,5,202,201,91,90,110.88,3.417322835,269.27,728.18,785.73,202.78,233.89,1224.35,1383.26
171244080020004,Washington,100,5,202,201,94,98,115.03,5.003937008,130.51,1064.51,1075.67,554.15,565.24,3441.01,3510.47
171244053020004,Washington,100,3,202,201,130,60,216.5,5.834645669,180.54,9748.46,10795.44,8983.28,8983.28,59352.96,59352.96
171244320020004,Washington,100,4,202,201,102,25,149.35,4.551181102,204.83,1687.52,1687.52,845.54,845.54,4520.17,4520.17
171244101020004,Washington,100,5,202,201,82,100,245.77,5.724409449,212.91,8366.87,8366.87,7761.32,7761.32,48473.49,48473.49
212810894020004,Washington,100,4,202,201,100,40,113.61,3.614173228,246.73,3608.81,3638.38,1871.31,1871.31,10509.89,10509.89
212810909020004,Washington,100,5,202,201,81,28,46.2,3.011811024,144.43,772.09,772.09,105.26,105.26,486.17,486.17
171244265020004,Washington,100,5,202,201,70,76,37.34,3.681102362,78.23,607.72,907.92,370.48,370.48,1710.7,1710.7
171244277020004,Washington,100,4,202,201,98,93,130.43,3.937007874,238.7,3553.92,3592.71,2372.13,2372.13,13963.94,13963.94
171244075020004,Washington,100,5,202,201,75,96,98.34,5.05511811,109.32,2836.67,2836.67,2252.04,2252.04,12917.59,12917.59
171244245020004,Washington,100,4,202,201,109,90,78.38,4.862204724,94.11,1022.06,1022.06,932.13,932.13,5708.43,5708.43
171244258020004,Washington,100,5,202,201,70,87,290.73,4.988188976,331.96,3396.37,3552.34,2392.96,2547.09,12737.87,13683.74
171244058020004,Washington,100,4,202,201,102,78,108.82,4.515748031,151.45,2820.55,2843.38,2342.43,2342.43,13458.24,13458.24
171244129020004,Washington,100,4,202,201,96,74,128.46,5.078740157,141.41,3132.38,3506.44,2369,2539.44,13408.88,14389.76
171244098020004,Washington,100,5,202,201,72,132,102.16,5.767716535,87.22,3190.67,3551.59,2506.51,2506.51,15340.59,15340.59
171244184020004,Washington,100,5,202,201,60,121,116.78,5.062992126,129.35,2304.75,2426.77,1998.45,2119.54,11907.11,12621.84
171244236020004,Washington,100,3,202,201,134,69,128.39,4.263779528,200.57,3758.25,4097.08,2543.66,2771.47,15344.51,16845.06
171244240020004,Washington,100,4,202,201,114,86,208.2,3.566929134,464.6,1481.71,1481.71,1001.11,1001.11,5864.35,5864.35
171244295020004,Washington,100,4,202,201,120,52,126.49,3.767716535,252.75,2807.15,2817.08,1788.98,1788.98,9839.15,9839.15
171244194020004,Washington,100,2,202,201,159,25,76.48,3.413385827,186.55,654.96,654.96,236.19,236.19,1198.65,1198.65
212810794020004,Washington,100,5,202,201,74,120,267.13,4.728346457,339.3,6482.2,6683.43,5389.57,5389.57,32612.58,32612.58
212810795020004,Washington,100,5,202,201,74,18,64.11,4.543307087,88.24,114.4,125.58,60.13,66.71,269.11,298.54
212810857020004,Washington,100,4,202,201,101,60,176.06,4.385826772,260.04,4811.62,4970.4,3623.38,3630.89,21630.62,21665.05
212810781020004,Washington,100,5,202,201,60,90,168.21,4.511811024,234.7,4258,5799.46,3189.94,3200.68,17527.36,17583.8
212811013020004,Washington,100,4,202,201,109,39,99.37,3.712598425,204.61,2585.26,2585.26,1748.75,1748.75,9792.97,9792.97
171244119020004,Washington,100,4,202,201,120,180,306.41,7.519685039,153.9,8703.09,8856.54,8418.16,8566.85,58376.51,59210.56
171244120020004,Washington,100,4,202,201,120,40,170.27,4.724409449,216.64,1466.05,1466.05,1361.26,1361.26,7991.33,7991.33
171244049020004,Washington,100,4,202,201,112,80,103.26,5.850393701,85.66,4113.39,4113.39,3518.79,3518.79,23029.03,23029.03
171244269020004,Washington,100,5,202,201,94,260,102.4,4.295275591,157.48,3055.6,3440.37,2198.93,2198.93,14987.25,14987.25
171244237020004,Washington,100,3,202,201,125,92,240.2,7.291338583,128.35,11935.46,12655.08,10791.73,10900.06,73684.99,74466.85
171244263020004,Washington,100,3,202,201,136,28,115.21,3.996062992,205.04,115.28,125.95,103.92,114.2,540.42,593.87
171244069020004,Washington,100,3,202,201,143,48,97.08,4.858267717,116.79,1578.7,1667.75,1460.89,1544.92,7935.28,8369.92
212810837020004,Washington,100,3,202,201,130,65,259.07,5.448818898,247.73,11207.07,12113.64,9789.67,9789.67,63427.68,63427.68
171244067020004,Washington,100,5,202,201,90,63,69.95,4.665354331,91.26,1734.65,2264.21,891.97,891.97,4777.61,4777.61
171244130020004,Washington,100,4,202,201,98,61,75.16,4.011811024,132.5,1896.42,1896.42,1179.09,1179.09,6928.28,6928.28
171244319020004,Washington,100,5,202,201,87,116,84.96,5.417322835,82.23,2355.43,2445.63,2108.87,2183.38,12552.79,12995.66
171244215020004,Washington,100,3,202,201,136,75,128.14,4.086614173,217.64,3544.43,3932.09,1669.56,1678.66,9573.15,9612.5
171244261020004,Washington,100,4,202,201,101,86,191.03,4.948818898,221.64,4741.23,4741.23,4074.45,4074.45,23673.75,23673.75
212810887020004,Washington,100,5,202,201,88,110,108.26,5.401574803,105.3,3127.78,3183.57,2670.48,2700.56,15447.99,15642.46
171244257020004,Washington,100,3,202,201,146,51,239.97,4.342519685,361.08,7685.94,7794.37,5705.18,5712.25,33351.74,33392.78
212811000020004,Washington,100,4,202,201,120,90,301.57,5.783464567,255.89,12821.43,13390.53,11554.27,11805.12,75973.84,77674.49
171244266020004,Washington,100,4,202,201,105,90,146.39,3.716535433,301.04,3127.57,3188.65,1864.78,1905.56,10840.77,11118.78
22961953010497,Washington,100,4,202,201,119,25,30.44,2.748031496,114.34,322.22,369.29,40.68,40.68,175.21,175.21
22961984010497,Washington,100,4,202,201,118,75,572.85,5.527559055,532.34,2847.47,2847.47,2495.26,2495.26,16030.52,16030.52
22961922010497,Washington,100,3,202,201,132,100,139.23,6.775590551,86.15,3586.45,3643.92,3354.98,3373.76,20533.5,20659.12
22962007010497,Washington,100,3,202,201,131,130,126.69,5.377952756,124.33,4004.6,4173.89,3654,3723.02,24049.65,24524.78
22961867010497,Washington,100,5,202,201,89,75,42.19,5.669291339,37.27,551.46,551.46,533.59,533.59,2844.51,2844.51
22962114010497,Washington,100,5,202,201,81,125,83.18,6.066929134,64.17,3053.31,3314.03,2718.62,2737.33,17273.2,17391.29
22961898010497,Washington,100,4,202,201,114,120,108.81,10.83858268,26.31,1128.66,1128.66,1120.7,1120.7,7453.33,7453.33
22962055010497,Washington,100,4,202,201,114,85,191.03,6.716535433,120.33,8131.58,9406.62,5766.1,5943.33,36900.79,37986.08
22962056010497,Washington,100,4,202,201,106,80,135.07,8.960629921,47.77,2870.52,2979.3,2841.8,2949.76,18381.83,19086.76
22962020010497,Washington,100,4,202,201,107,85,304.48,6.940944882,179.49,12138.87,12168.84,11079.71,11098.93,74176.36,74299.83
22962086010497,Washington,100,4,202,201,121,45,321.65,7.157480315,178.37,4976.59,5416.06,4827.6,4966.82,31008.07,31920.21
22962012010497,Washington,100,4,202,201,97,300,450.91,12.19685039,86.11,25587.34,26569.84,24213.29,24500.36,174946.73,177009.34
22961621010497,Washington,100,3,202,201,125,17,147.27,3.677165354,308.91,4101.87,4102.78,2171.96,2171.96,13956.45,13956.45
22961653010497,Washington,100,3,202,201,125,75,320.01,5.070866142,353.42,1823.54,1823.54,1533.62,1533.62,9366.39,9366.39
22961643010497,Washington,100,4,202,201,120,29,155.56,3.586614173,343.02,3771.62,3771.62,2365.52,2365.52,13034.75,13034.75
22961664010497,Washington,100,3,202,201,144,20,41.55,3.496062992,96.4,815.06,2807.17,235.95,235.95,1362.18,1362.18
22961665010497,Washington,100,3,202,201,144,50,264.4,7.81496063,122.96,3191.04,3204.31,3153,3153,21024.71,21024.71
22961667010497,Washington,100,3,202,201,134,70,366.42,9.118110236,125.17,8864.63,8864.63,8776.43,8776.43,59672.13,59672.13
22961639010497,Washington,100,4,202,201,121,14,67.8,2.901574803,228.68,1102.94,1878.94,61.78,61.78,300.18,300.18
22962186010497,Washington,100,4,202,201,97,150,128.94,4.12992126,214.62,5222.34,5320.24,1720.67,1772.35,10334.56,10628.81
22962083010497,Washington,100,4,202,201,115,76,91.67,5.311023622,92.26,2894.99,2901.24,2668.96,2668.96,15933.35,15933.35
22962251010497,Washington,100,4,202,201,96,50,58.55,3.625984252,126.37,786.46,800.88,370.12,370.12,1928.28,1928.28
22962101010497,Washington,100,4,202,201,95,68,123.89,3.88976378,232.68,3552.49,3575.19,2191.05,2191.05,13107.35,13107.35
22962063010497,Washington,100,4,202,201,103,72,120.08,5.346456693,119.33,2815.1,3349.18,2584.16,2696.72,15570.43,16212.47
22962091010497,Washington,100,4,202,201,109,85,149.97,5.527559055,139.39,3590.94,3721.4,3209.24,3324.06,19051.26,19812.04
22962143010497,Washington,100,3,202,201,148,60,214.46,5.149606299,229.68,7101.42,7139.56,6434.62,6469.65,39066.78,39261.95
22962125010497,Washington,100,4,202,201,96,100,158.26,5.618110236,142.43,3987.7,4331.56,3588.95,3610.7,20769.08,20867.67
22961701010497,Washington,100,5,202,201,63,100,50.93,4.570866142,69.19,1707.27,2337.24,939.71,939.71,5400.18,5400.18
22961818010497,Washington,100,4,202,201,111,40,328.76,8.350393701,133.96,6671.87,6903.85,5949.34,6070.01,37791.6,38526.9
22961810010497,Washington,100,3,202,201,134,25,136.7,3.665354331,288.86,3017,3017,2073.88,2073.88,10948.58,10948.58
22961797010497,Washington,100,3,202,201,138,23,133.75,3.271653543,355.06,3300.06,5321.25,1131.61,1152.59,6058.01,6171.2
22961817010497,Washington,100,3,202,201,132,40,183.11,5.118110236,198.59,6783.75,6869.96,5033.35,5045.1,30902.68,30973.65
22961802010497,Washington,100,4,202,201,95,22,132.02,3.527559055,300.9,1704.94,1705.49,559.84,559.84,2781.98,2781.98
22961876010497,Washington,100,5,202,201,77,52,221.09,4.566929134,300.9,3136.94,3199.55,2703.48,2703.48,15960.81,15960.81
22961950010497,Washington,100,4,202,201,106,78,232.68,7.295275591,124.13,5285.81,5316.34,4777.98,4791.09,31304.42,31389.27
22961926010497,Washington,100,3,202,201,131,25,178.47,4.102362205,300.9,4703.99,4718.49,3467.25,3480.42,19580.14,19652.02
22961934010497,Washington,100,3,202,201,135,37,131.68,5.874015748,108.32,5058.82,5995.78,4713.36,4780.7,29186.15,29598.24
22961893010497,Washington,100,4,202,201,103,31,198.81,4.905511811,234.7,4217.8,4762.71,3281.22,3587.13,18154.91,19868.34
22961830010497,Washington,100,5,202,201,83,60,135.67,4.846456693,164.09,1428.19,1428.94,1227.76,1227.76,7558.53,7558.53
22961902010497,Washington,100,3,202,201,128,58,425.41,5.374015748,418.5,7000.54,7036.51,6203.09,6238.68,39213.17,39431.86
22961905010497,Washington,100,5,202,201,55,90,197.84,4.082677165,337.01,2477.01,2528.81,1755.12,1774.34,9758.95,9867.58
22961880010497,Washington,100,5,202,201,61,250,90.66,5.696850394,79.37,211.93,838.68,174.25,321.25,833.32,1546.7
22961885010497,Washington,100,4,202,201,120,93,141.68,5.291338583,143.79,2971.52,3302.89,2324.84,2357.1,13901.64,14080.75
22961886010497,Washington,100,4,202,201,120,93,109.19,4.988188976,124.56,812.56,969.49,780.26,920.62,4543.7,5346.6
22961874010497,Washington,100,5,202,201,83,250,71.82,8.527559055,28.04,2574.47,3411.95,1947.01,2003.51,12708.39,13064.22
22961846010497,Washington,100,3,202,201,149,65,124.1,5.866141732,102.39,3529.79,3605.48,3381.64,3456.79,20170.81,20658.12
