Source,origin,si50,siteclass,Age,total_cubic,boardfeet_scribner,si100
Schumacher_1930,,60,5,40,"2,300",,
Schumacher_1930,,60,5,50,"3,650",,
Schumacher_1930,,60,5,60,"4,800",,
Schumacher_1930,,60,5,70,"5,700",,
Schumacher_1930,,60,5,80,"6,400",,
Schumacher_1930,,60,5,90,"6,950",,
Schumacher_1930,,60,5,100,"7,400",,
Schumacher_1930,,60,5,110,"7,700",,
Schumacher_1930,,60,5,120,"7,950",,
Schumacher_1930,,60,5,130,"8,150",,
Schumacher_1930,,60,5,140,"8,350",,
Schumacher_1930,,60,5,150,"8,500",,
Schumacher_1930,,60,5,160,"8,600",,
Schumacher_1930,,80,4,30,"3,300",,
Schumacher_1930,,80,4,40,"5,000",,
Schumacher_1930,,80,4,50,"6,400",,
Schumacher_1930,,80,4,60,"7,600",,
Schumacher_1930,,80,4,70,"8,550",,
Schumacher_1930,,80,4,80,"9,350",,
Schumacher_1930,,80,4,90,"10,000",,
Schumacher_1930,,80,4,100,"10,500",,
Schumacher_1930,,80,4,110,"11,000",,
Schumacher_1930,,80,4,120,"11,400",,
Schumacher_1930,,80,4,130,"11,700",,
Schumacher_1930,,80,4,140,"12,000",,
Schumacher_1930,,80,4,150,"12,300",,
Schumacher_1930,,80,4,160,"12,500",,
Schumacher_1930,,100,3,30,"4,900",,
Schumacher_1930,,100,3,40,"7,200",,
Schumacher_1930,,100,3,50,"9,000",,
Schumacher_1930,,100,3,60,"10,500",,
Schumacher_1930,,100,3,70,"11,750",,
Schumacher_1930,,100,3,80,"12,750",,
Schumacher_1930,,100,3,90,"13,550",,
Schumacher_1930,,100,3,100,"14,300",,
Schumacher_1930,,100,3,110,"14,900",,
Schumacher_1930,,100,3,120,"15,400",,
Schumacher_1930,,100,3,130,"15,950",,
Schumacher_1930,,100,3,140,"16,400",,
Schumacher_1930,,100,3,150,"16,800",,
Schumacher_1930,,100,3,160,"17,200",,
Schumacher_1930,,120,2,30,"6,500",,
Schumacher_1930,,120,2,40,"9,350",,
Schumacher_1930,,120,2,50,"11,700",,
Schumacher_1930,,120,2,60,"13,200",,
Schumacher_1930,,120,2,70,"14,500",,
Schumacher_1930,,120,2,80,"15,500",,
Schumacher_1930,,120,2,90,"16,400",,
Schumacher_1930,,120,2,100,"17,200",,
Schumacher_1930,,120,2,110,"17,950",,
Schumacher_1930,,120,2,120,"18,600",,
Schumacher_1930,,120,2,130,"19,200",,
Schumacher_1930,,120,2,140,"19,800",,
Schumacher_1930,,120,2,150,"20,300",,
Schumacher_1930,,120,2,160,"20,800",,
Schumacher_1930,,140,1,30,"7,700",,
Schumacher_1930,,140,1,40,"10,900",,
Schumacher_1930,,140,1,50,"13,100",,
Schumacher_1930,,140,1,60,"14,800",,
Schumacher_1930,,140,1,70,"16,200",,
Schumacher_1930,,140,1,80,"17,400",,
Schumacher_1930,,140,1,90,"18,400",,
Schumacher_1930,,140,1,100,"19,200",,
Chambers_1983,,70,5,30,517 ,945 ,
Chambers_1983,,70,5,40,"1,874 ","4,407 ",
Chambers_1983,,70,5,50,"3,126 ","8,845 ",
Chambers_1983,,70,5,60,"4,275 ","13,768 ",
Chambers_1983,,70,5,70,"5,320 ","18,779 ",
Chambers_1983,,70,5,80,"6,261 ","23,588 ",
Chambers_1983,,70,5,90,"7,099 ","27,977 ",
Chambers_1983,,70,5,100,"7,833 ","31,773 ",
Chambers_1983,,80,4,30,"1,082 ","2,194 ",
Chambers_1983,,80,4,40,"2,630 ","7,048 ",
Chambers_1983,,80,4,50,"4,074 ","13,119 ",
Chambers_1983,,80,4,60,"5,414 ","19,749 ",
Chambers_1983,,80,4,70,"6,651 ","26,484 ",
Chambers_1983,,80,4,80,"7,784 ","33,008 ",
Chambers_1983,,80,4,90,"8,813 ","39,095 ",
Chambers_1983,,80,4,100,"9,738 ","44,571 ",
Chambers_1983,,90,4,30,"1,506 ","3,307 ",
Chambers_1983,,90,4,40,"3,256 ","9,607 ",
Chambers_1983,,90,4,50,"4,902 ","17,362 ",
Chambers_1983,,90,4,60,"6,444 ","25,763 ",
Chambers_1983,,90,4,70,"7,882 ","34,296 ",
Chambers_1983,,90,4,80,"9,217 ","42,619 ",
Chambers_1983,,90,4,90,"10,448 ","50,496 ",
Chambers_1983,,90,4,100,"11,576 ","57,757 ",
Chambers_1983,,100,3,30,"2,130 ","5,259 ",
Chambers_1983,,100,3,40,"4,071 ","13,361 ",
Chambers_1983,,100,3,50,"5,909 ","22,986 ",
Chambers_1983,,100,3,60,"7,642 ","33,245 ",
Chambers_1983,,100,3,70,"9,273 ","43,590 ",
Chambers_1983,,100,3,80,"10,799 ","53,672 ",
Chambers_1983,,100,3,90,"12,222 ","63,264 ",
Chambers_1983,,100,3,100,"13,540 ","72,210 ",
Chambers_1983,,110,3,30,"2,574 ","6,853 ",
Chambers_1983,,110,3,40,"4,717 ","16,660 ",
Chambers_1983,,110,3,50,"6,757 ","28,112 ",
Chambers_1983,,110,3,60,"8,693 ","40,211 ",
Chambers_1983,,110,3,70,"10,525 ","52,362 ",
Chambers_1983,,110,3,80,"12,253 ","64,199 ",
Chambers_1983,,110,3,90,"13,877 ","75,493 ",
Chambers_1983,,110,3,100,"15,398 ","86,108 ",
Chambers_1983,,120,2,30,"3,257 ","9,649 ",
Chambers_1983,,120,2,40,"5,592 ","21,474 ",
Chambers_1983,,120,2,50,"7,823 ","34,883 ",
Chambers_1983,,120,2,60,"9,951 ","48,836 ",
Chambers_1983,,120,2,70,"11,974 ","62,726 ",
Chambers_1983,,120,2,80,"13,894 ","76,186 ",
Chambers_1983,,120,2,90,"15,710 ","89,009 ",
Chambers_1983,,120,2,100,"17,423 ","101,084 ",
Chambers_1983,,130,2,30,"3,722 ","11,748 ",
